hgnc_symbol	gene_biotype	baseMean	log2FoldChange	lfcSE	pvalue	padj	diffexpressed
ENSG00000310238		lncRNA	53.8011057873521	0.129870690027073	0.181429175198627	0.265576173886087	0.524084720531744	NO
ENSG00000008128	CDK11A	protein_coding	9.42976676133714	-0.024854836909886	0.212253752317732	0.688263767055383	0.849961800814288	NO
ENSG00000293188		lncRNA	59.1068998761722	-0.162802471197836	0.19690276777989	0.177087496562658	0.420268774571153	NO
ENSG00000290854		lncRNA	308.432902594478	0.0590372464251388	0.131099556865606	0.575524223136652	0.779677323597993	NO
ENSG00000008130	NADK	protein_coding	2778.1922137369	0.0862336997553161	0.0922651124264132	0.301163403607138	0.560105861657647	NO
ENSG00000302550		lncRNA	36.1006625078755	-0.0679125419190472	0.220315343971912	0.32247780225847	0.579362959427319	NO
ENSG00000078369	GNB1	protein_coding	29561.1531439877	0.0272205126723997	0.0770496160793504	0.706276153701815	0.85964439550107	NO
ENSG00000231050	GNB1-DT	lncRNA	32.338802348853	-0.00146587410508999	0.201695631841495	0.984945310538458	0.993113013651616	NO
ENSG00000294910		lncRNA	37.4663411909753	-0.0413658628549926	0.207033135971575	0.591199920842721	0.790047917333764	NO
ENSG00000306476		lncRNA	33.6028491368574	-0.00859849185988034	0.166088500085772	0.933791970861486	0.969255378766279	NO
ENSG00000169885	CALML6	protein_coding	33.0384992166331	0.015547851795464	0.2084315322546	0.815773656786789	0.914626401991162	NO
ENSG00000142609	CFAP74	protein_coding	217.225675009403	-0.254019228663857	0.264402896599052	0.0576160943324803	0.220978422423666	NO
ENSG00000233542	AL391845.2	lncRNA	22.3341453351219	0.0134294054221747	0.211720543566627	0.826421158120102	0.919570881062989	NO
ENSG00000187730	GABRD	protein_coding	75.0338001035726	0.151786414939969	0.258819830740155	0.0989520295903984	0.300936833768945	NO
ENSG00000067606	PRKCZ	protein_coding	7751.39053250271	-0.0657548466965731	0.141947246100117	0.538420385914301	0.755018663150778	NO
ENSG00000182873	PRKCZ-AS1	lncRNA	45.712360673454	0.108281373002123	0.200736414682129	0.318539476371374	0.57581514163702	NO
ENSG00000162585	FAAP20	protein_coding	941.392355657124	0.0151530280517671	0.123824930990447	0.841671997053984	0.927025106355778	NO
ENSG00000304038		lncRNA	39.029787151119	0.0639294102266282	0.197661402108784	0.506456468897226	0.732180350050877	NO
ENSG00000234396	AL590822.1	lncRNA	175.059772300422	-0.0975922672656699	0.191098206841107	0.36327625085238	0.61856558957805	NO
ENSG00000157933	SKI	protein_coding	18260.1741194627	0.184913816619053	0.111770254172888	0.0548939076877331	0.214700383339783	NO
ENSG00000287356		lncRNA	31.9729592520111	0.0103198213801251	0.20286128613793	0.886010893164239	0.947995920226075	NO
ENSG00000116151	MORN1	protein_coding	3887.05591215171	-0.0929309348619282	0.13576989567144	0.381478823014963	0.634635329538208	NO
ENSG00000157916	RER1	protein_coding	3607.37282441906	0.0209863232212214	0.0909053194031713	0.800051006629116	0.906604520863462	NO
ENSG00000157911	PEX10	protein_coding	616.952151120815	0.0902713605028272	0.0952559416922535	0.290815203063852	0.549280878348834	NO
ENSG00000149527	PLCH2	protein_coding	423.57768063284	-0.453241475743859	0.31787278597885	0.00888964355471318	0.0715015344449115	NO
ENSG00000177133	PRDM16-DT	lncRNA	26.9109315159945	0.12778358296898	0.255216416555811	0.0690818774845978	0.246307377797323	NO
ENSG00000142611	PRDM16	protein_coding	1456.94433979973	0.184382822389121	0.266166334546708	0.0868280930715142	0.279839287289961	NO
ENSG00000130762	ARHGEF16	protein_coding	1803.83156342951	-0.216084454917452	0.167595460990118	0.0719690841624344	0.252448830823647	NO
ENSG00000162591	MEGF6	protein_coding	4136.80741464917	0.284243611188422	0.15359937687669	0.0182085388824187	0.11173462338335	NO
ENSG00000238260	AL513320.1	lncRNA	42.6812802129963	-0.612372950355491	0.361323926942869	0.00330410489633117	0.0371484522534735	DOWN
ENSG00000158109	TPRG1L	protein_coding	906.842424895066	0.108958889489862	0.120080537411029	0.277293315631392	0.53555037853929	NO
ENSG00000116213	WRAP73	protein_coding	769.366272447291	0.0289859985540357	0.0918756843084396	0.707532930629394	0.860584874292113	NO
ENSG00000078900	TP73	protein_coding	625.711078294209	-0.225388232349809	0.258837687702738	0.071345345453596	0.251109020160454	NO
ENSG00000293478	GFOD3P	lncRNA	376.063605672379	-0.0540860257208143	0.14371215549503	0.606321135713251	0.799299800549423	NO
ENSG00000235169	SMIM1	protein_coding	91.5994227028017	-0.282600736688487	0.282981298395496	0.0434777712885847	0.187443520078537	NO
ENSG00000130764	LRRC47	protein_coding	1313.63854041818	0.0359315610735508	0.0766280514153315	0.610419554002587	0.802417155143021	NO
ENSG00000116198	CEP104	protein_coding	3246.1562182402	-0.249763352129719	0.0947544222775328	0.0035138910594649	0.0387725757185578	NO
