baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000196353	2033.37933775876	1.40287969370478	0.371659495146448	3.77463703208227	0.000160240806277209	0.0436353791007124	CPNE4	protein_coding	UP	NA
ENSG00000203506	62.4773994941513	1.70935457337564	0.338210891579173	5.05410859299748	4.32405541198807e-07	0.000881929254705072	RBMS3-AS2	lncRNA	UP	NA
ENSG00000204952	33.5732140367754	-2.45017186565255	0.644066625637154	-3.80422112887572	0.000142251065797223	0.0413451866398973	FBXO47	protein_coding	DOWN	NA
ENSG00000205592	6402.22334018616	-2.36274654658228	0.480583002272594	-4.91641721702445	8.81424450179068e-07	0.00145531571243137	MUC19	protein_coding	DOWN	NA
ENSG00000206187	20.77297230837	2.58634271161965	0.614731501387944	4.20727212739252	2.58471821135069e-05	0.0172346027965697	LINC02346	lncRNA	UP	NA
ENSG00000214491	41.4586568124978	1.7625944674019	0.420129195852141	4.19536296168816	2.72434963813054e-05	0.0178229009439435	SEC14L6	protein_coding	UP	NA
ENSG00000224541	22.7461834339628	1.25017056001726	0.328753301379568	3.80276199439241	0.000143091811980148	0.0413451866398973	AP001439.1	lncRNA	UP	NA
ENSG00000225087	604.337563330345	-2.8456368385551	0.52135688211754	-5.45813613699177	4.81158689613313e-08	0.000166832152449624	AL583808.1	lncRNA	DOWN	NA
ENSG00000226620	13.399455746227	3.89021044512567	0.898055909417142	4.33181320264404	1.47886386711979e-05	0.0119248015964289	LINC00343	lncRNA	UP	NA
ENSG00000229609	11.3899629372898	1.63621205083615	0.43560568613837	3.75617698047314	0.000172528706992115	0.0458126571868674	LINC01079	lncRNA	UP	NA
ENSG00000231290	693.82787512862	-0.879892359704623	0.231293319583956	-3.80422729583089	0.000142247522321018	0.0413451866398973	APCDD1L-DT	lncRNA	DOWN	NA
ENSG00000233515	68.2680604304476	-4.12491195222573	0.72748596314103	-5.67009146735396	1.42721303149549e-08	8.24762624017387e-05	LINC01518	lncRNA	DOWN	NA
ENSG00000234660	11.4541842915797	3.87267564231844	0.974796874669524	3.9728026863354	7.10318870704888e-05	0.0286669019248824	LINC00440	lncRNA	UP	NA
ENSG00000235277	32.1883896235972	-1.59992534887272	0.399922161090982	-4.00059187644952	6.3184249142242e-05	0.0267169203720604	AF127577.3	lncRNA	DOWN	NA
ENSG00000236039	1768.26173300236	1.56143154810702	0.383832050288796	4.06800721026864	4.74169144936628e-05	0.0241777452388054	LINC02889	lncRNA	UP	NA
ENSG00000237174	32.7341933278731	2.67765464971999	0.527980231299948	5.07150550528625	3.94680845768094e-07	0.000855298060332319	AL445465.1	lncRNA	UP	NA
ENSG00000237505	2024.87199078116	-1.10946371143818	0.268148360357295	-4.13749951690875	3.51111188284585e-05	0.0202901303856524	PKN2-AS1	lncRNA	DOWN	NA
ENSG00000237978	4628.31966532647	-1.25092785160325	0.333103983850862	-3.7553674295391	0.000173087361678529	0.0458126571868674	KCNMB2-AS1	lncRNA	DOWN	NA
ENSG00000239388	54.7173007767646	1.49034268614986	0.349279022616475	4.26691152244299	1.98197717892061e-05	0.0143168947343155	ASB14	protein_coding	UP	NA
ENSG00000246876	648.319556555611	-2.48576367382516	0.621253786742918	-4.00120486485468	6.30207649510006e-05	0.0267169203720604	LINC02466	lncRNA	DOWN	NA
ENSG00000248131	265.230345284757	-2.69137737751271	0.614794953666669	-4.37768293552378	1.19947672882634e-05	0.0112937372391055	LINC01194	lncRNA	DOWN	NA
ENSG00000248431	1395.59925207858	2.72142531743745	0.503980542970811	5.39986187045136	6.66922274226459e-08	0.000192701633452117	AC005150.1	lncRNA	UP	NA
ENSG00000248810	247.83007931586	-1.88829541746492	0.420254109378997	-4.49322296991985	7.01532644591552e-06	0.00810808046197429	LINC02432	lncRNA	DOWN	NA
ENSG00000249574	11.0442805433496	-2.24587110151787	0.596261131896976	-3.76658980667202	0.000165492571081692	0.0444815807528334	AC226118.1	lncRNA	DOWN	NA
ENSG00000249618	49.7704334891026	-1.6589227316962	0.417594915586959	-3.9725644872004	7.11029782695437e-05	0.0286669019248824	LINC02465	lncRNA	DOWN	NA
ENSG00000251027	611.280717368558	-1.56207895630373	0.357387113763862	-4.37083178476281	1.23774122540885e-05	0.0112937372391055	LINC01950	lncRNA	DOWN	NA
ENSG00000251173	26.808738847658	-2.25777697489644	0.513943678774609	-4.39304357294488	1.11774713755943e-05	0.0112937372391055	UCHL1-DT	lncRNA	DOWN	NA
ENSG00000253642	882.902320198851	-2.25409100959923	0.473326765068621	-4.76223018842477	1.9146510041915e-06	0.00265546777073328	AF279873.3	lncRNA	DOWN	NA
ENSG00000254089	166.550728612451	-2.43325413942883	0.558931927500018	-4.35339979648731	1.34042377630472e-05	0.0113698776054331	AC016885.2	lncRNA	DOWN	NA
ENSG00000254681	49.3802695491714	-1.14261930036836	0.288460980237587	-3.96108790668068	7.46090569854345e-05	0.0290665149759098	PKD1P5	transcribed_unprocessed_pseudogene	DOWN	NA
ENSG00000254733	667.212984726701	-0.809585598124995	0.21678702077807	-3.73447448661507	0.000188107558519206	0.0486735326607196	AP001831.1	lncRNA	DOWN	NA
ENSG00000254787	44.1716221044588	1.57421262410524	0.379895891917463	4.14380007153974	3.4159758184617e-05	0.0201981612304348	AP001825.1	lncRNA	UP	NA
ENSG00000254837	2.64240591396299	-2.47691103657217	0.64488926935718	-3.84083152607135	0.000122618250001185	0.0387335885474662	LIPT2-AS1	lncRNA	DOWN	NA
