Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000157766	81.0328078293758	3.10699598764641	0.734481106383974	4.23019184651719	2.33492096036639e-05	0.0167324028205948	ACAN	protein_coding	UP	NA
ENSG00000164294	365.786462085426	1.22903140515348	0.274568369045674	4.47623085435977	7.59723355885394e-06	0.00792274215643514	GPX8	protein_coding	UP	NA
ENSG00000165164	1588.82210153912	2.26537511863262	0.500894616160532	4.52265815112413	6.10678259121129e-06	0.0072355567009461	CFAP47	protein_coding	UP	NA
ENSG00000165325	63.901085696039	2.26681397876944	0.579420717057073	3.91220733404698	9.14563397002132e-05	0.0381495788349486	DEUP1	protein_coding	UP	NA
ENSG00000172031	209.996408986541	-2.44094069642476	0.635308727037543	-3.84213311189178	0.000121969653787751	0.0466959984117815	EPHX4	protein_coding	DOWN	NA
ENSG00000173585	17.5954352536943	4.45232348519749	1.17048945400835	3.80381341322682	0.000142485520009702	0.0493428927326048	CCR9	protein_coding	UP	NA
ENSG00000176406	3446.28324920982	2.09742676744127	0.474419872915552	4.42103479888292	9.82293512332184e-06	0.00867449111301572	RIMS2	protein_coding	UP	NA
ENSG00000183454	1893.97380674557	1.84055188617651	0.373532129819774	4.92742588720429	8.33200115683946e-07	0.00194052306942791	GRIN2A	protein_coding	UP	NA
ENSG00000189127	65.9626221563222	5.3742390379311	1.14534741163579	4.69223484798867	2.70236657037748e-06	0.00444269064170057	ANKRD34B	protein_coding	UP	NA
ENSG00000196353	1851.90151595539	2.32050600043997	0.56093222574499	4.136874106953	3.52069141831826e-05	0.0209353795232253	CPNE4	protein_coding	UP	NA
ENSG00000196632	822.923734186194	-1.53871206134023	0.361485557637234	-4.25663495769419	2.07526784801664e-05	0.0161109960601025	WNK3	protein_coding	DOWN	NA
ENSG00000203506	89.727969994853	2.4504095756287	0.55328306030883	4.42885342316631	9.47353772416028e-06	0.00867449111301572	RBMS3-AS2	lncRNA	UP	NA
ENSG00000223598	44.0365991926174	2.9491203967143	0.776579189510292	3.7975784524615	0.000146116538570257	0.0493428927326048	AL138733.1	lncRNA	UP	NA
ENSG00000224893	18.4254495058103	3.67214264908121	0.92690446662341	3.96172721279286	7.44095253818308e-05	0.0358551278512311	LINC02840	lncRNA	UP	NA
ENSG00000227279	25.3334480696717	4.42676367756626	1.12374684401316	3.93928908557133	8.17234105198513e-05	0.0368296899475307	AC110015.1	lncRNA	UP	NA
ENSG00000227757	183.257143275216	2.98561258448825	0.659558406622812	4.52668414883182	5.99163892656822e-06	0.0072355567009461	AP000282.1	lncRNA	UP	NA
